torneo,edicion,equipo,posicion,premio_eur,fecha
Copa nacional,Segunda,Iron bears,3.0,16363.0,20260328.0
Cyberleague Primera,Tercera,Byte force,,4569.0,20260513.0
Cyberleague temporada Segunda,Segunda,Vortex club,,15260.0,
Grand finals,Edición Primera,Neon strikers,,188900.0,
Copa nacional,Tercera,Neon strikers,5.0,8589.0,20260526.0
Open qualifier,Primera,Vortex club,,5213.0,
Copa nacional,Segunda,Neon strikers,,27471.0,20250601.0
Cyberleague Segunda,Tercera,Cyberdragons,,5159.0,
Masters series,Tercera,Quantum five,,50925.0,20251215.0
Copa nacional,Primera,Nova squad,,7288.0,
Grand finals,Primera,Arctic foxes,5.0,4552.0,
Masters series,Primera,Zeinth,,13054.0,20250803.0
Copa nacional,Edición Segunda,Darkwolves,,18349.0,
Copa nac.,Segunda,Stormgaming,,8541.0,
Copa nac.,Primera,Shadow legion,,3392.0,
Copa nacional,Primera,Storm gaming,,10139.0,
Open,Primera,Blaze team,8.0,5917.0,
Cyberleague season Primera,2025-s1,Quantmu five,,15958.0,
Cyberleague temporada Segunda,Primera,Raptors gg,,14548.0,
Copa nacional,Primera,Crystal gaming,,27467.0,20251008.0
Copa nacional,Primera,Eclipse,,7159.0,
Cyberleague Segunda,Edición Primera,Eclipse,,15446.0,20251012.0
Cyberleague Primera,Edición Segunda,Zenith,7.0,4861.0,
Open,Primera,Arctic foxes,,10505.0,
Cyberleague temporada Primera,Tercera,Eclpise,,28613.0,
Copa nacional,Primera,Phoenix rising,,5162700.0,4012025.0
Masters,Primera,Voretx club,,6362.0,
Cyberleague Segunda,Tercera,Dark wolves,,5729.0,
Masters series,Segunda,Nova squad,,54033.0,
Copa nacional,Primera,Omegateam,8.0,3401.0,
Copa nacional,Segunda,Iron bears,,10253.0,
Open qualifier,Primera,Byte force,,17152.0,20261224.0
Masters,Primera,Arctic foxes,1.0,52040.0,
Cyberleague Primera,2025-s1,Phoenix rising,,6370.0,
Open,Primera,Thunder esports,,4625.0,
Open qualifier,Tercera,Titan esports,7.0,0.0,5122025.0
Master series,Primera,Omgea team,,7566.0,26032025.0
Cyber league Segunda,Tercera,Crystal gaming,,5702.0,
Grand finals,Edición Primera,Neon strikers,3.0,14596.0,
Grand finals,Tercera,Darkwolves,,29289.0,
Cyberleague Primera,Segunda,Raptors gg,,50569.0,
Grand finals,Segunda,Titan esports,7.0,4574.0,
Copa nacional,Segunda,Omega team,,26322.0,6062026.0
Copa nac.,2025-s1,Noav squad,,7434.0,
Cyberleague Segunda,2025-s1,Darkwolves,,51107.0,
Cyberleague Segunda,Edición Primera,Blaze team,,19460.0,20250511.0
Master series,Segunda,Omega team,,5402.0,
Masters series,Primera,Blaze etam,,2097.0,
Masters series,Primera,Shadow legion,,3270.0,
Copa nacional,Primera,Storm gaming,,10139.0,
Cyberleague Segunda,Primera,Byteforce,,5668.0,
Grand final,2025-s1,Quantum five,,12364.0,15092025.0
Cyberleague Segunda,Edición Segunda,Byteforce,,26397.0,21112025.0
Cyberleague Primera,Edición Segunda,Shadow legion,6.0,7342.0,
Cyberleague Primera,Primera,Neonstrikers,,5048.0,
Cyberleague Primera,Segunda,Zeinth,,5798.0,
Open qualifier,Segunda,Raptors gg,,9630.0,
Copa nacional,Segunda,Omgea team,,3230.0,
Grand finals,Primera,Sin datos,,2861.0,
Cyber league Segunda,Edición Primera,Vortex club,1.0,51752.0,21032025.0
Cyberleague Segunda,2025-s1,Quantum five,,53922.0,1042025.0
Masters,Segunda,Nova squad,4.0,14100.0,
Open qualifier,Segunda,Neon strikers,,28585.0,
Grand finals,Segunda,Raptorsgg,,29784.0,
Grand finals,Edición Primera,Byet force,,3819.0,
Cyberleague Segunda,Tercera,Storm gaming,,26262.0,
Cyberleague Primera,Segunda,Iron bears,5.0,9851.0,14062025.0
Open,Primera,Titan esports,,4435.0,
Gran final,Primera,Byte force,4.0,12463.0,
Copa nacional,Segunda,Arctic foxes,,19119.0,
Qualifier,Primera,Nova squad,4.0,10263.0,1072026.0
Cyber league Segunda,Segunda,Raptors gg,8.0,824.0,13052025.0
Cyber league Primera,Segunda,Byteforce,1.0,54548.0,16022026.0
Copa nacional,Primera,Shadowlegion,,438800.0,
Grand finals,Edición Primera,Omega team,,10231.0,
Copa nacional,Segunda,Eclipse,5.0,8765.0,
Cyber league Primera,Segunda,Voretx club,,3960.0,
Masters series,Primera,Shadow legion,5.0,6625.0,
Cyberleague temporada Segunda,Edición Primera,Shadow legion,2.0,28337.0,
Cyberleague temporada Segunda,Segunda,Iron bears,,2462200.0,
Cyberleague season Primera,Primera,Phoenix rising,,5842.0,20250211.0
Grand finals,Segunda,Blaze team,,5065.0,
Open qualifier,Edición Segunda,Neon strikers,,8754.0,
Cyber league Primera,Primera,Iron bears,,16716.0,
Cyberleague season Primera,2025-s1,Quantmu five,,15958.0,
Open qualifier,Primera,Titan esports,,3039.0,20260706.0
Copa nacional,Edición Segunda,Cyber dragons,,4882.0,2072026.0
Open qualifier,2025-s1,Crystal gaming,,16271.0,
Copa nac.,Primera,Thunderesports,4.0,14729.0,
Masters series,Primera,Cyber dragons,7.0,5613.0,
Masters series,Primera,Blaze etam,,2097.0,
Gran final,Primera,Shadow legion,8.0,627.0,
Copa nacional,Segunda,Byte force,,9142.0,18082025.0
Cyberleague temporada Primera,Edición Segunda,Eclipse,,271300.0,
Copa nacional,Primera,Zeinth,,6190.0,20250909.0
Copa nacional,Segunda,Blaze team,4.0,9724.0,
Cyber league Primera,Segunda,Stomr gaming,,53275.0,16012026.0
Grand finals,Segunda,Nova squad,2.0,29474.0,
Master series,Primera,Arcticfoxes,,12798.0,
Masters series,Edición Primera,Raptors gg,,52569.0,
Qualifier,Primera,Eclipse,,2882300.0,20261016.0
Cyberleague Primera,Primera,Titan esports,,3010.0,
Cyberleague temporada Segunda,Edición Primera,Blaze etam,,26882.0,
Copa nacional,Segunda,Eclipse,5.0,9447.0,
Cyber league Primera,Tercera,Dark wolves,,2322.0,
Cyberleague Segunda,Primera,Neon strikers,,701.0,20250813.0
Open,Segunda,Phoenix rising,,9891.0,
Masters series,Segunda,Stormgaming,4.0,10827.0,
Open,Segunda,Neon srtikers,7.0,2661.0,
Cyberleague Primera,Segunda,Eclipse,,11325.0,
torneo,edicion,equipo,posicion,premio_eur,fecha
Copa nac.,Segunda,Shadowlegion,,5112.0,
Cyber league Segunda,Segunda,Phoenix rising,,2726.0,
Copa nacional,Tercera,Thunder esports,2.0,24942.0,20260723.0
Master series,2025-s1,Thunder esports,,52263.0,
Copa nacional,Tercera,Blaze team,,24870.0,
Masters,Segunda,Shadow legion,,19279.0,
Grand finals,Segunda,Phoenix risign,,27014.0,
Cyberleague temporada Primera,Primera,Nova squad,,0.0,
Grand finals,Segunda,Zenith,,52405.0,
Cyberleague Primera,Primera,Byet force,,18718.0,
Cyberleague Primera,Primera,Crystal gaming,8.0,3001.0,
Cyberleague Segunda,Segunda,Zenith,,19017.0,
Masters,2025-s1,Phoenix rising,,50756.0,27092026.0
Grand finals,Tercera,Thunder esports,,9934.0,
Copa nacional,Primera,Titan esports,,7718.0,
Copa nacional,Primera,Noav squad,,12465.0,
Gran final,Primera,Blaze etam,,25747.0,19102025.0
Master series,Primera,Cyberd ragons,,2916.0,
Cyberleague Primera,Primera,Neon strikers,,49792.0,
Masters series,Edición Primera,Neon strikers,,11697.0,
Masters,Sin datos,Zenith,,17018.0,
Gran final,Edición Segunda,Nova squad,4.0,11438.0,0.0
Cyber league Segunda,Segunda,Arctic foxes,4.0,14254.0,
Cyberleague temporada Primera,Segunda,Vortex club,,26547.0,
Grand finals,2025-s1,Arcticfoxes,,25777.0,
Open qualifier,Segunda,Quantum five,8.0,5891.0,
Copa nacional,Edición Primera,Iron bears,,4886.0,
Copa nac.,Edición Segunda,Thunder esports,4.0,0.0,
Cyberleague Segunda,Edición Segunda,Byet force,,26397.0,21112025.0
Cyberleague Segunda,N/a,Ironbears,,4236.0,3052025.0
Masters series,Edición Segunda,Titan esports,,51232.0,
Cyber league Segunda,Segunda,Blaze team,8.0,824.0,13052025.0
Copa nacional,2025-s1,Storm gaming,8.0,1097.0,20102026.0
Copa nacional,N/a,Byte force,7.0,5644.0,2112026.0
Grand finals,2025-s1,Zenith,,945.0,
Open qualifier,2025-s1,Storm gaming,7.0,5892.0,20260128.0
Copa nac.,2025-s1,Storm gaming,,13879.0,
Grand finals,Segunda,Titan esports,,5065.0,
Copa nacional,Segunda,Thunder esports,,25901.0,
Cyberleague temporada Segunda,Edición Primera,Eclipse,,4913.0,18092025.0
Copa nacional,Edición Segunda,Cyber dragons,,4882.0,2072026.0
Open qualifier,2025-s1,Neon strikers,,5340.0,20261020.0
Cyberleague Primera,Tercera,Titan esports,,5054.0,
Cyberleague Segunda,Primera,Dark wolves,,13026.0,
Copa nacional,Primera,Titan esports,,3424.0,
Masters,Tercera,Phoenix rising,1.0,51559.0,20260526.0
Master series,2025-s1,Eclipse,,2943.0,
Masters,Segunda,Nova squad,4.0,14100.0,
Copa nacional,Segunda,Iron bears,3.0,16363.0,20260328.0
Cyberleague Primera,Tercera,Byte force,,4569.0,20260513.0
Cyberleague temporada Segunda,Segunda,Vortex club,,15260.0,
Grand finals,Edición Primera,Neon strikers,,188900.0,
Copa nacional,Tercera,Neon strikers,5.0,8589.0,20260526.0
Open qualifier,Primera,Vortex club,,5213.0,
Copa nacional,Segunda,Neon strikers,,27471.0,20250601.0
Cyberleague Segunda,Tercera,Cyberdragons,,5159.0,
Masters series,Tercera,Quantum five,,50925.0,20251215.0
Copa nacional,Primera,Nova squad,,7288.0,
Grand finals,Primera,Arctic foxes,5.0,4552.0,
Masters series,Primera,Zeinth,,13054.0,20250803.0
Copa nacional,Edición Segunda,Darkwolves,,18349.0,
Copa nac.,Segunda,Stormgaming,,8541.0,
Copa nac.,Primera,Shadow legion,,3392.0,
Copa nacional,Primera,Storm gaming,,10139.0,
Open,Primera,Blaze team,8.0,5917.0,
Cyberleague season Primera,2025-s1,Quantmu five,,15958.0,
Cyberleague temporada Segunda,Primera,Raptors gg,,14548.0,
Copa nacional,Primera,Crystal gaming,,27467.0,20251008.0
Copa nacional,Primera,Eclipse,,7159.0,
Cyberleague Segunda,Edición Primera,Eclipse,,15446.0,20251012.0
Cyberleague Primera,Edición Segunda,Zenith,7.0,4861.0,
Open,Primera,Arctic foxes,,10505.0,
Cyberleague temporada Primera,Tercera,Eclpise,,28613.0,
Copa nacional,Primera,Phoenix rising,,5162700.0,4012025.0
Masters,Primera,Voretx club,,6362.0,
Cyberleague Segunda,Tercera,Dark wolves,,5729.0,
Masters series,Segunda,Nova squad,,54033.0,
Copa nacional,Primera,Omegateam,8.0,3401.0,
Copa nacional,Segunda,Iron bears,,10253.0,
Open qualifier,Primera,Byte force,,17152.0,20261224.0
Masters,Primera,Arctic foxes,1.0,52040.0,
Cyberleague Primera,2025-s1,Phoenix rising,,6370.0,
Open,Primera,Thunder esports,,4625.0,
Open qualifier,Tercera,Titan esports,7.0,0.0,5122025.0
Master series,Primera,Omgea team,,7566.0,26032025.0
Cyber league Segunda,Tercera,Crystal gaming,,5702.0,
Grand finals,Edición Primera,Neon strikers,3.0,14596.0,
Grand finals,Tercera,Darkwolves,,29289.0,
Cyberleague Primera,Segunda,Raptors gg,,50569.0,
Grand finals,Segunda,Titan esports,7.0,4574.0,
Copa nacional,Segunda,Omega team,,26322.0,6062026.0
Copa nac.,2025-s1,Noav squad,,7434.0,
Cyberleague Segunda,2025-s1,Darkwolves,,51107.0,
Cyberleague Segunda,Edición Primera,Blaze team,,19460.0,20250511.0
Master series,Segunda,Omega team,,5402.0,
Masters series,Primera,Blaze etam,,2097.0,
Masters series,Primera,Shadow legion,,3270.0,
Copa nacional,Primera,Storm gaming,,10139.0,
Cyberleague Segunda,Primera,Byteforce,,5668.0,
Grand final,2025-s1,Quantum five,,12364.0,15092025.0
Cyberleague Segunda,Edición Segunda,Byteforce,,26397.0,21112025.0
Cyberleague Primera,Edición Segunda,Shadow legion,6.0,7342.0,
Cyberleague Primera,Primera,Neonstrikers,,5048.0,
Cyberleague Primera,Segunda,Zeinth,,5798.0,
Open qualifier,Segunda,Raptors gg,,9630.0,
Copa nacional,Segunda,Omgea team,,3230.0,
Grand finals,Primera,Sin datos,,2861.0,
Cyber league Segunda,Edición Primera,Vortex club,1.0,51752.0,21032025.0
Cyberleague Segunda,2025-s1,Quantum five,,53922.0,1042025.0
Masters,Segunda,Nova squad,4.0,14100.0,
Open qualifier,Segunda,Neon strikers,,28585.0,
Grand finals,Segunda,Raptorsgg,,29784.0,
Grand finals,Edición Primera,Byet force,,3819.0,
Cyberleague Segunda,Tercera,Storm gaming,,26262.0,
Cyberleague Primera,Segunda,Iron bears,5.0,9851.0,14062025.0
Open,Primera,Titan esports,,4435.0,
Gran final,Primera,Byte force,4.0,12463.0,
Copa nacional,Segunda,Arctic foxes,,19119.0,
Qualifier,Primera,Nova squad,4.0,10263.0,1072026.0
Cyber league Segunda,Segunda,Raptors gg,8.0,824.0,13052025.0
Cyber league Primera,Segunda,Byteforce,1.0,54548.0,16022026.0
Copa nacional,Primera,Shadowlegion,,438800.0,
Grand finals,Edición Primera,Omega team,,10231.0,
Copa nacional,Segunda,Eclipse,5.0,8765.0,
Cyber league Primera,Segunda,Voretx club,,3960.0,
Masters series,Primera,Shadow legion,5.0,6625.0,
Cyberleague temporada Segunda,Edición Primera,Shadow legion,2.0,28337.0,
Cyberleague temporada Segunda,Segunda,Iron bears,,2462200.0,
Cyberleague season Primera,Primera,Phoenix rising,,5842.0,20250211.0
Grand finals,Segunda,Blaze team,,5065.0,
Open qualifier,Edición Segunda,Neon strikers,,8754.0,
Cyber league Primera,Primera,Iron bears,,16716.0,
Cyberleague season Primera,2025-s1,Quantmu five,,15958.0,
Open qualifier,Primera,Titan esports,,3039.0,20260706.0
Copa nacional,Edición Segunda,Cyber dragons,,4882.0,2072026.0
Open qualifier,2025-s1,Crystal gaming,,16271.0,
Copa nac.,Primera,Thunderesports,4.0,14729.0,
Masters series,Primera,Cyber dragons,7.0,5613.0,
Masters series,Primera,Blaze etam,,2097.0,
Gran final,Primera,Shadow legion,8.0,627.0,
Copa nacional,Segunda,Byte force,,9142.0,18082025.0
Cyberleague temporada Primera,Edición Segunda,Eclipse,,271300.0,
Copa nacional,Primera,Zeinth,,6190.0,20250909.0
Copa nacional,Segunda,Blaze team,4.0,9724.0,
Cyber league Primera,Segunda,Stomr gaming,,53275.0,16012026.0
Grand finals,Segunda,Nova squad,2.0,29474.0,
Master series,Primera,Arcticfoxes,,12798.0,
Masters series,Edición Primera,Raptors gg,,52569.0,
Qualifier,Primera,Eclipse,,2882300.0,20261016.0
Cyberleague Primera,Primera,Titan esports,,3010.0,
Cyberleague temporada Segunda,Edición Primera,Blaze etam,,26882.0,
Copa nacional,Segunda,Eclipse,5.0,9447.0,
Cyber league Primera,Tercera,Dark wolves,,2322.0,
Cyberleague Segunda,Primera,Neon strikers,,701.0,20250813.0
Open,Segunda,Phoenix rising,,9891.0,
Masters series,Segunda,Stormgaming,4.0,10827.0,
Open,Segunda,Neon srtikers,7.0,2661.0,
Cyberleague Primera,Segunda,Eclipse,,11325.0,
