id_partida,fecha,equipo_1,equipo_2,puntuacion_1,puntuacion_2,mapa,torneo,duracion_minutos
Match-00401,12/9/26,Arctic Foxes,Crystal Gaming,5.0,14.0,Ancient,Cyberleague Primera,27.0
Match-00132,11-03-2026,Phoenix Rising,Blaze Team,4.0,2.0,Overpass,Cyberleague temporada Segunda,66.0
Match-00338,22-dic-2026,Arctic Foxes,Quantumfive,8.0,6.0,Nuke,Qualifier,20.0
Match-00247,14 de agosto de 2025,Neon Strikers,Tita Esports,1.0,15.0,Nuke,Copa nacional,54.0
Match-00120,19 de septiembre de 2026,Phoenix Rising,Arctic Foxes,4.0,3.0,Ancient,Open Qualifier,22.0
Match-00162,26-12-2025,Cyberd Dragons,Thunder Esports,10.0,2.0,Inferno,Masters,70.0
Match-00185,07/11/2025,Nova Squad,Byte Force,1.0,12.0,Haven,Copa nacional,62.0
Match-00023,"noviembre 11, 2025",Storm Gaming,Dark Wolves,0.0,15.0,Vértigo,Masters series,38.0
Match-00156,22/1/26,Crystal Gaming,Neon Strikers,2.0,10.0,Dust Segunda,Copa nacional,
Match-00283,23-jun-2026,Crystal Gaming,Shadow Legion,11.0,7.0,Inferno,Copa nacional,29.0
Match-00212,19/4/26,Nova Squad,Dark Wolves,5.0,8.0,Vértigo,Grand finals,32.0
Match-00391,13/8/25,Thnuder Esports,Byte Force,8.0,15.0,Inferno,Masters series,64.0
Match-00046,23 de marzo de 2026,Eclipse,Quantum Five,5.0,4.0,Haeven,Qualifier,26.0
Match-00082,28/4/26,Shadow Legion,Crystal Gaming,9.0,6.0,Sin datos,Cyberleague Season Primera,22.0
Match-00081,14/10/25,Phoenix Rising,Neon srtikers,2.0,8.0,Mirage,Masters,34.0
Match-00345,2025-05-15,Crystal Gaming,Neon Strikers,0.0,1.0,Sin datos,Grand finals,69.0
Match-00378,2025-06-16,Eclipse,Shadow Legion,1.0,3.0,Sin datos,Cyberleague Primera,52.0
Match-00184,13/1/26,Raptors GG,Byte Force,3.0,11.0,Ancient,Cyber league Segunda,41.0
Match-00020,01-11-2026,Vortex Club,Zenith,4.0,5.0,Ancient,Cyberleague Season Primera,58.0
Match-00026,2026-09-04,Quantum Five,Byte Force,999.0,9.0,Haeven,Cyber league Segunda,46.0
Match-00315,13/07/2025,Dark Wolves,Blaze Team,13.0,7.0,Dust_2,Copa nacional,75.0
Match-00143,24/05/2026,Shadow Legion,Dark Wolves,9.0,5.0,Bind,Copa nacional,27.0
Match-00272,13/12/26,Phoenix Rising,Titan Esports,15.0,9.0,Haeven,Masters series,59.0
Match-00158,9 de junio de 2025,Titan Esports,Blaze Team,9.0,7.0,Ascent,Open Qualifier,0.0
Match-00268,"abril 21, 2025",Crystal Gaming,Nova Squad,15.0,16.0,Haeven,Grand finals,
Match-00310,18/11/26,Vortex Club,Titan Esports,8.0,14.0,Dust2,Gran final,20.0
Match-00281,20 de octubre de 2025,Zenith,Iron Bears,1.0,16.0,Inferno,Cyberleague Season Primera,
Match-00025,"mayo 14, 2025",Storm Gaming,Raptors GG,11.0,8.0,Nuke,Grand final,57.0
Match-00262,28/4/25,Cyber Dragons,Neon Strikers,5.0,5.0,Ascent,Cyber league Primera,67.0
Match-00134,2025-11-19,Crystal Gaming,Cyber Dragons,10.0,2.0,Bind,Cyberleague Segunda,55.0
Match-00243,8-oct-2026,Arctic Foxes,Shado Legion,7.0,3.0,Over pass,Grand final,29.0
Match-00403,28/4/26,Raptors GG,Crystal Gaming,9.0,6.0,Sin datos,Cyberleague Season Primera,22.0
Match-00012,"marzo 27, 2026",Byte Force,Zenith,8.0,10.0,Nuke,Grand finals,999.0
Match-00150,7-nov-2025,Omega Team,Blaze Team,8.0,2.0,Nuke,Cyberleague Primera,39.0
Match-00317,2026-08-24,Crystal Gaming,Vortex Club,14.0,5.0,Ascnet,Masters,0.0
Match-00163,2026-04-27,Iron Bears,Raptors GG,13.0,13.0,Inferno,Copa nac.,56.0
Match-00107,22-07-2025,Neon Strikers,Thunder Esports,10.0,5.0,Nuke,Master series,60.0
Match-00155,28/12/26,Cyber Dragons,Storm Gaming,9.0,10.0,Ascent,Master series,
Match-00172,17 de agosto de 2026,Nova Squad,Blaze Team,10.0,13.0,Dust_2,Masters,42.0
Match-00106,"abril 27, 2025",Byte Force,Blaze Team,12.0,0.0,Haven,Cyberleague Segunda,27.0
Match-00168,"marzo 10, 2025",Thunder Esports,Ratpors GG,4.0,0.0,Ascent,Masters series,24.0
Match-00076,"febrero 3, 2026",Iron Bears,Dark Wolves,4.0,0.0,Ancient,Qualifier,69.0
Match-00394,8 de diciembre de 2025,Cyber Dragons,Eclipse,13.0,11.0,Nuke,Gran final,53.0
Match-00201,15/8/25,Zenith,Quantum Five,12.0,5.0,Vértigo,Cyberleague temporada Primera,70.0
Match-00099,27-sep-2025,Arctic Foxes,Iron baers,0.0,1.0,Mirage,Cyber league Segunda,62.0
Match-00017,23/05/2026,Dark Wolves,Thunder Esports,12.0,4.0,Mirage,Cyberleague Primera,69.0
Match-00302,2025-11-26,Blaze Team,Neon Strikers,9.0,13.0,Nuke,Qualifier,48.0
Match-00257,2026-07-24,Ratpors GG,Titan Esports,8.0,2.0,Bind,Grand final,999.0
Match-00376,13/09/2025,Arctic Foxes,Nova Squad,4.0,10.0,Nuke,Gran final,68.0
Match-00086,8 de diciembre de 2025,Byte Force,Eclipse,13.0,11.0,Nuke,Gran final,53.0
Match-00373,27/5/25,Thunder Esports,Zenith,15.0,14.0,Ascent,Cyber league Segunda,29.0
Match-00015,9-ago-2025,Noav Squad,Storm Gaming,0.0,10.0,Dust_2,Grand finals,72.0
Match-00386,17-06-2025,Nova Squad,Nova Squad,8.0,16.0,Inferno,Cyberleague Segunda,32.0
Match-00043,23 de agosto de 2025,Nova Squad,Blaze Team,14.0,3.0,Vértigo,Qualifier,26.0
Match-00214,26 de marzo de 2026,Zenith,Eclipse,13.0,4.0,Haven,Copa nacional,
Match-00063,"noviembre 18, 2025",Blaze Team,Dark Wolves,9.0,2.0,Ancient,Masters series,36.0
Match-00207,14-jun-2026,Phoenix Rising,Voretx Club,10.0,10.0,Ancient,Grand finals,51.0
Match-00117,2025-09-14,Blaze Team,Shadow Legion,11.0,14.0,Ancient,Gran final,64.0
Match-00056,13-jun-2025,Quantum Five,Storm Gaming,12.0,8.0,Dust Segunda,Grand final,17.0
Match-00013,19-10-2026,Crystal Gaming,Zenith,13.0,3.0,Dust2,Grand final,46.0
Match-00130,11/2/26,Storm Gaming,Eclipse,2.0,5.0,Ancient,Grand final,32.0
Match-00216,18/8/26,Dark Wolves,Nova Squad,3.0,0.0,Vértigo,Copa nacional,70.0
Match-00297,18/10/2026,Neon Strikers,Blaze Team,1.0,16.0,Inferno,Cyberleague Segunda,32.0
Match-00037,23-jul-2026,Raptors GG,Eclipse,13.0,5.0,Haeven,Copa nac.,27.0
Match-00198,26-mar-2026,Nova Squad,Storm Gaming,5.0,7.0,Over pass,Open,25.0
Match-00224,19 de abril de 2025,Phoenix Rising,Cyber Dragons,5.0,11.0,Inferno,Open Qualifier,21.0
Match-00280,16 de abril de 2025,Neon Strikers,Vortex Club,999.0,11.0,Inferno,Open Qualifier,69.0
Match-00226,2026-10-06,Crystal Gaming,Iron Bears,3.0,5.0,Ascnet,Grand finals,73.0
Match-00369,7 de abril de 2025,Neon srtikers,Crystal Gaming,2.0,3.0,Ancient,Cyberleague Segunda,30.0
Match-00001,05-06-2025,Blaze Team,Neon Strikers,13.0,15.0,Ascent,Copa nacional,61.0
Match-00197,2025-06-09,Cyber Dragons,Iron Bears,10.0,4.0,Nuke,Gran final,999.0
Match-00145,21 de enero de 2025,Titan Esports,Dark Wolves,1.0,5.0,Mirage,Cyberleague Segunda,74.0
Match-00007,4 de abril de 2025,Thunder Esports,Vortex Club,999.0,15.0,Overpas,Copa nacional,3.0
Match-00115,01-02-2025,Omega Team,Stomr Gaming,15.0,2.0,Vértigo,Grand finals,999.0
Match-00360,23/5/25,Titan Esports,Zenith,16.0,12.0,Mirage,Masters,57.0
Match-00032,13/8/25,Phoenix Rising,Byte Force,8.0,15.0,Inferno,Masters series,64.0
Match-00054,2025-06-03,Arctic Foxes,Crystal Gaming,16.0,7.0,Vértigo,Open Qualifier,31.0
Match-00239,02/05/2025,Byte Force,Blaze Team,12.0,7.0,Nuke,Copa nacional,
Match-00399,27-12-2025,Arctic Foxes,Zenith,4.0,6.0,Overpas,Masters,20.0
Match-00121,7/10/25,Arctic Foxes,Byte Force,10.0,15.0,Vértigo,Masters,31.0
Match-00244,05/05/2025,Eclipse,Dark Wolves,8.0,8.0,Nuke,Cyberleague Segunda,62.0
Match-00160,"diciembre 15, 2025",Zenith,Quantum Five,14.0,9.0,Mirage,Cyber league Primera,63.0
Match-00219,10/05/2026,Omega Team,Zenith,2.0,16.0,Ascent,Cyber league Primera,32.0
Match-00199,"julio 19, 2025",Eclipse,Storm Gaming,4.0,0.0,Nuke,Copa nacional,0.0
Match-00078,1/9/26,Phoenix Rising,Quantum Five,6.0,10.0,Ancient,Cyber league Primera,46.0
Match-00144,08/08/2025,Iron Bears,Blaze Team,15.0,14.0,Dust2,Qualifier,46.0
Match-00301,"febrero 9, 2025",Iron Bears,Thunder Esports,10.0,14.0,Ancient,Masters series,55.0
Match-00173,19/08/2025,Blaze Team,Vortex Club,1.0,9.0,Dust2,Grand finals,16.0
Match-00016,2025-08-25,Storm Gaming,Cyberd Dragons,8.0,13.0,Over pass,Grand final,58.0
Match-00287,13-06-2025,Arctic Foxes,Byte Force,16.0,9.0,Dust_2,Open Qualifier,
Match-00148,20 de diciembre de 2025,Crystal Gaming,Byte Force,13.0,10.0,Haeven,Grand final,36.0
Match-00361,24-abr-2026,Omega Team,Cyberd Dragons,9.0,0.0,Overpas,Gran final,3.0
Match-00057,3-sep-2025,Dark Wolves,Nova Squad,5.0,999.0,Nuke,Copa nacional,60.0
Match-00060,26-may-2025,Byte Force,Raptors GG,2.0,9.0,Ancient,Cyberleague Primera,68.0
Match-00324,23-07-2025,Cyber Dragons,Storm Gaming,10.0,13.0,Nuke,Open Qualifier,0.0
Match-00135,27-12-2025,Eclipse,Zenith,4.0,6.0,Overpas,Masters,20.0
Match-00105,26-may-2026,Iron Bears,Titan Esports,11.0,14.0,Ascent,Masters series,64.0
Match-00336,07/05/2025,Shadow Legion,Storm Gaming,9.0,16.0,Inferno,Master series,24.0
Match-00189,11-jul-2026,Quantum Five,Storm Gaming,10.0,3.0,Inferno,Cyber league Segunda,63.0
Match-00024,17 de junio de 2025,Storm Gaming,Blaze Team,5.0,5.0,Haven,Grand finals,38.0
Match-00276,"enero 17, 2025",Quantum Five,Iron Bears,13.0,999.0,Nuke,Grand final,55.0
Match-00307,13/06/2025,Neon Strikers,Raptors GG,0.0,3.0,Bind,Open Qualifier,49.0
Match-00166,1 de octubre de 2026,Arctic Foxes,Zenith,16.0,12.0,Ascent,Cyberleague Season Primera,74.0
Match-00038,"julio 25, 2025",Blaze Team,Zenith,0.0,4.0,Mirage,Open Qualifier,
Match-00050,23/1/25,Shadow Legion,Nova Squad,6.0,1.0,Overpass,Cyber league Segunda,
Match-00071,16-06-2026,Storm Gaming,Thunder Esports,0.0,16.0,Bind,Copa nacional,28.0
Match-00010,02-09-2026,Thunder Esports,Eclipse,16.0,13.0,Vértigo,Cyberleague Segunda,54.0
Match-00213,13 de junio de 2025,Quantum Five,Crystal gamnig,13.0,11.0,Dust Segunda,Grand finals,44.0
Match-00279,10/8/25,Quantum Five,Iron Bears,6.0,1.0,Inferno,Masters series,21.0
Match-00334,19-01-2025,Thunder Esports,Arctic Foxes,4.0,4.0,Ascnet,Open,41.0
Match-00059,21/8/26,Storm Gaming,Arctic Foxes,13.0,10.0,Bind,Masters,
Match-00321,2025-03-27,Nova Squad,Eclipse,11.0,0.0,Nuke,Masters,24.0
Match-00152,24-oct-2025,Eclipse,Dark Wolves,0.0,6.0,Ancient,Copa nacional,56.0
Match-00233,04/07/2026,Thunder Esports,Blaze Team,14.0,10.0,Dust_2,Cyberleague Primera,74.0
Match-00314,13 de enero de 2025,Blaze Team,Neon Strikers,2.0,4.0,Inferno,Cyberleague Primera,23.0
Match-00355,"julio 14, 2025",Eclipse,Cyberd Dragons,9.0,4.0,Haven,Cyberleague temporada Primera,55.0
Match-00333,19 de marzo de 2025,Zenith,Blaze Team,9.0,0.0,Dust_2,Copa nacional,51.0
Match-00057,3-sep-2025,Dark Wolves,Nova Squad,5.0,999.0,Nuke,Copa nacional,60.0
Match-00122,25-ene-2025,Dark Wolves,Quantum Five,11.0,13.0,Bind,Cyber league Primera,46.0
Match-00222,2025-12-10,Zenith,Thunder Esports,3.0,7.0,Ascent,Cyberleague Segunda,28.0
Match-00332,2026-10-26,Tita Esports,Crystal Gaming,14.0,14.0,Nuke,Open,41.0
Match-00256,01-03-2025,Titan Esports,Zenith,8.0,7.0,Sin datos,Masters series,59.0
Match-00068,08-11-2026,Raptors GG,Omega Team,5.0,16.0,Ancient,Cyberleague Season Primera,28.0
Match-00290,07/10/2025,Storm Gaming,Neon Strikers,14.0,3.0,Ascnet,Open Qualifier,29.0
Match-00072,24-jun-2025,Omgea Team,Neon Strikers,15.0,15.0,Nuke,Masters series,50.0
Match-00298,26/02/2026,Titan Esports,Voretx Club,999.0,12.0,Vértigo,Master series,0.0
Match-00357,2025-11-19,Omega Team,Eclipse,13.0,1.0,Haven,Copa nacional,27.0
Match-00131,22 de junio de 2025,Iron Bears,Raptors GG,11.0,9.0,Mirage,Cyberleague temporada Primera,35.0
Match-00313,4-abr-2026,Phoenix Rising,Quantum Five,999.0,10.0,Ascnet,Copa nacional,73.0
Match-00159,13-jul-2025,Neon Strikers,Eclipse,14.0,11.0,Dust Segunda,Cyberleague Primera,39.0
Match-00371,2025-04-09,Raptors GG,Blaze Team,9.0,2.0,Bind,Cyberleague Segunda,27.0
Match-00260,2025-05-17,Eclipse,Arctic Foxes,13.0,5.0,Over pass,Open Qualifier,40.0
Match-00388,18 de mayo de 2025,Byet Force,Byte Force,7.0,11.0,Haven,Copa nacional,29.0
Match-00125,"abril 16, 2026",Cyber Dragons,Shadow Legion,6.0,16.0,Haven,Open Qualifier,35.0
Match-00232,"octubre 4, 2025",Noav Squad,Cyber Dragons,16.0,15.0,Overpass,Qualifier,70.0
Match-00075,08-02-2026,Nova Squad,Iron baers,5.0,4.0,Vértigo,Qualifier,26.0
Match-00275,21 de febrero de 2026,Raptors GG,Dark Wolves,13.0,15.0,Ascnet,Cyberleague temporada Primera,67.0
Match-00346,26 de febrero de 2025,Nova Squad,Titan Esports,5.0,1.0,Inferno,Cyber league Segunda,46.0
Match-00282,12-nov-2025,Crystal Gaming,Iron Bears,4.0,3.0,Inferno,Cyberleague temporada Segunda,74.0
Match-00285,26-dic-2026,Cyber Dragons,Quantum Five,9.0,13.0,Dust_2,Grand finals,45.0
Match-00300,04/07/2025,Shadow Legion,Phoenix Rising,4.0,13.0,Dust2,Copa nac.,40.0
Match-00329,21/5/25,Phoenix Rising,Titan Esports,11.0,2.0,Haven,Cyberleague Segunda,38.0
Match-00309,2025-09-16,Raptors GG,Neon Strikers,6.0,5.0,Overpass,Qualifier,24.0
Match-00014,13-05-2026,Arctic Foxes,Blaze Team,15.0,1.0,Ascnet,Masters series,31.0
Match-00306,6/11/26,Phoenix Rising,Crystal Gaming,15.0,12.0,Dust2,Cyberleague Season Primera,54.0
Match-00176,06-01-2026,Omega Team,Dark Wolves,12.0,15.0,Over pass,Cyberleague temporada Primera,39.0
Match-00265,18-feb-2026,Arctic Foxes,Omgea Team,12.0,2.0,Dust2,Grand finals,45.0
Match-00204,14-11-2025,Nova Squad,Raptors GG,1.0,2.0,Over pass,Qualifier,43.0
Match-00089,11 de octubre de 2026,Thnuder Esports,Dark Wolves,8.0,15.0,Haven,Copa nacional,31.0
Match-00359,"octubre 19, 2025",Zenith,Cyber Dragons,0.0,3.0,Overpas,Cyberleague Segunda,69.0
Match-00210,4 de mayo de 2025,Zenith,Blaze Team,12.0,15.0,Mirage,Open Qualifier,69.0
Match-00349,25-11-2025,Raptors GG,Cyber Dragons,5.0,2.0,Ascent,Cyber league Segunda,41.0
Match-00266,25 de noviembre de 2025,Shadow Legion,Eclipse,3.0,9.0,Bind,Copa nacional,51.0
Match-00234,23/5/26,Shadow Legion,Crystal Gaming,15.0,3.0,Bind,Cyberleague temporada Segunda,56.0
Match-00034,18/01/2026,Omega Team,Zenith,6.0,15.0,Over pass,Cyberleague Segunda,3.0
Match-00100,21 de agosto de 2026,Thnuder Esports,Shadow Legion,13.0,16.0,Vértigo,Open Qualifier,60.0
Match-00387,2025-04-10,Cyber Dragons,Cyber Dragons,8.0,14.0,Ascent,Cyber league Segunda,47.0
Match-00186,1 de abril de 2026,Zenith,Titan Esports,7.0,999.0,Sin datos,Cyberleague Primera,44.0
Match-00126,12-jun-2026,Eclipse,Omega Team,0.0,9.0,Ascent,Cyberleague temporada Segunda,30.0
Match-00103,9 de noviembre de 2025,Storm Gaming,Thunder Esports,8.0,13.0,Vértigo,Grand final,32.0
Match-00200,8/8/25,Raptors GG,Crystal Gaming,0.0,13.0,Inferno,Masters series,33.0
Match-00196,"diciembre 14, 2025",Nova Squad,Storm Gaming,12.0,7.0,Inferno,Cyberleague Segunda,24.0
Match-00193,12 de octubre de 2026,Titan Esports,Neon Strikers,16.0,7.0,Ancient,Cyberleague Primera,49.0
Match-00084,13-08-2026,Vortex Club,Storm Gaming,0.0,8.0,Vértigo,Cyber league Segunda,
Match-00033,24-09-2026,Vortex Club,Cyber Dragons,3.0,9.0,Bind,Cyber league Primera,27.0
Match-00289,19/12/26,Phoenix Rising,Iron Bears,7.0,11.0,Ascent,Cyberleague temporada Segunda,39.0
Match-00175,20/3/25,Crystal Gaming,Dark Wolves,15.0,13.0,Ascent,Cyber league Primera,69.0
Match-00205,26 de junio de 2025,Thunder Esports,Arctic Foxes,6.0,14.0,Haven,Open Qualifier,25.0
Match-00127,28-dic-2025,Storm Gaming,Titan Esports,3.0,1.0,Ascent,Cyberleague Segunda,35.0
Match-00141,7-dic-2026,Phoenix Rising,Titan Esports,2.0,8.0,Haven,Open Qualifier,40.0
Match-00331,"mayo 27, 2025",Thunder Esports,Vortex Club,12.0,12.0,Dust2,Copa nacional,72.0
Match-00228,28 de mayo de 2026,Zenith,Storm Gaming,6.0,2.0,Ancient,Master series,73.0
Match-00031,06-09-2025,Cyber Dragons,Storm Gaming,11.0,1.0,Dust Segunda,Open Qualifier,44.0
Match-00251,2026-02-12,Neon Strikers,Tita Esports,10.0,1.0,Overpass,Open Qualifier,64.0
Match-00237,11/09/2025,Neon Strikers,Omgea Team,14.0,13.0,Mirage,Cyberleague Primera,56.0
Match-00358,14/7/25,Iron Bears,Omega Team,7.0,15.0,Dust_2,Grand finals,22.0
Match-00380,2025-11-17,Byet Force,Cyberd Dragons,0.0,15.0,Haeven,Grand finals,
Match-00171,17/2/26,Crystal Gaming,Vortex Club,2.0,7.0,Haven,Qualifier,50.0
Match-00245,14/02/2025,Byte Force,Omega Team,2.0,12.0,Vértigo,Copa nac.,73.0
Match-00009,2026-01-09,Raptors GG,Omega Team,14.0,8.0,Mirage,Masters series,34.0
Match-00356,16 de diciembre de 2025,Iron baers,Byet Force,5.0,6.0,Ascnet,Cyberleague temporada Segunda,20.0
Match-00191,6/1/25,Phoenix Rising,Crystal Gaming,9.0,13.0,Inferno,Cyberleague Season Primera,64.0
Match-00108,04/04/2025,Tita Esports,Raptors GG,13.0,10.0,Dust2,Grand finals,20.0
Match-00341,2025-02-12,Titan Esports,Crystal Gaming,3.0,16.0,Bind,Open Qualifier,69.0
Match-00035,8-nov-2026,Crystal Gaming,Byte Force,999.0,8.0,Inferno,Copa nacional,49.0
Match-00011,2026-10-22,Dark Wolves,Thunder Esports,4.0,3.0,Vértigo,Open Qualifier,68.0
Match-00073,"septiembre 2, 2026",Blaze Team,Shadow Legion,4.0,1.0,Mirage,Grand finals,30.0
Match-00049,22/10/2026,Omega Team,Blaze Team,1.0,13.0,Haven,Open Qualifier,5.0
Match-00029,01-11-2025,Nova Squad,Thunder Esports,7.0,11.0,Nuke,Cyberleague Primera,39.0
Match-00051,14-jul-2025,Crystal Gaming,Arctic Foxes,1.0,0.0,Dust_2,Masters series,67.0
Match-00278,24/11/2025,Arctic Foxes,Eclipse,15.0,5.0,Bind,Grand finals,59.0
Match-00223,"agosto 25, 2026",Eclipse,Neon Strikers,1.0,5.0,Inferno,Cyberleague Primera,26.0
Match-00227,05/09/2026,Noav Squad,Neon Strikers,11.0,9.0,Haeven,Cyber league Primera,
Match-00092,2026-08-06,Omega Team,Ratpors GG,4.0,7.0,Bind,Copa nacional,72.0
Match-00299,"febrero 18, 2025",Raptors GG,Vortex Club,9.0,4.0,Inferno,Cyber league Primera,
Match-00296,18/06/2025,Eclipse,Raptors GG,14.0,8.0,Nuke,Masters series,61.0
Match-00259,2026-06-23,Noav Squad,Iron Bears,13.0,4.0,Mirage,Cyberleague Season Primera,0.0
Match-00091,6 de mayo de 2026,Neon Strikers,Omgea Team,8.0,7.0,Ascnet,Open Qualifier,37.0
Match-00036,1 de enero de 2025,Nova Squad,Zenith,5.0,10.0,Inferno,Cyberleague Primera,42.0
Match-00042,26 de febrero de 2026,Dark Wolves,Blaze Team,9.0,16.0,Ancient,Cyberleague Primera,55.0
Match-00249,28 de abril de 2026,Arctic Foxes,Raptors GG,12.0,0.0,Inferno,Open Qualifier,45.0
Match-00382,"septiembre 26, 2025",Thunder Esports,Thunder Esports,14.0,13.0,Inferno,Grand finals,31.0
Match-00286,"marzo 23, 2026",Phoenix Rising,Arctic Foxes,14.0,6.0,Ancient,Open,54.0
Match-00113,22/09/2026,Byte Force,Blaze Team,4.0,9.0,Bind,Cyberleague Segunda,40.0
Match-00390,6-jul-2025,Quantum Five,Quantum Five,11.0,11.0,Dust Segunda,Cyberleague Segunda,37.0
Match-00319,"abril 7, 2025",Thunder Esports,Dark Wolves,2.0,10.0,Bind,Copa nac.,32.0
Match-00339,2 de octubre de 2025,Blaze Team,Iron Bears,9.0,14.0,Haven,Master series,42.0
Match-00138,13-07-2025,Iron Bears,Nova Squad,12.0,10.0,Haven,Cyber league Segunda,45.0
Match-00381,11/2/25,Neon Strikers,Neon Strikers,13.0,7.0,Bind,Cyberleague temporada Primera,55.0
Match-00229,3/11/25,Raptors GG,Iron Bears,4.0,12.0,Ancient,Grand finals,45.0
Match-00389,7/2/25,Thunder Esports,Thunder Esports,15.0,16.0,Nuke,Copa nac.,52.0
Match-00187,22/11/2026,Dark Wolves,Eclipse,14.0,4.0,Inferno,Cyberleague Segunda,67.0
Match-00405,20-oct-2026,Ratpors GG,Eclipse,5.0,3.0,Ancient,Cyberleague Segunda,75.0
Match-00327,13 de abril de 2025,Titan Esports,Vortex Club,9.0,13.0,Nuke,Masters series,44.0
